,0,1,2,3,4,5,6,7
42251,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_0,train,what information is this app going to collect from my phone?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42252,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_1,train,what information is this app going to collect from my phone?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42253,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_2,train,what information is this app going to collect from my phone?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
42254,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_3,train,what information is this app going to collect from my phone?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
42255,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_4,train,what information is this app going to collect from my phone?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
42260,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_9,train,what information is this app going to collect from my phone?,"On our website, we use Cookies.",Relevant
42261,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_10,train,what information is this app going to collect from my phone?,"Cookies are small bits of information used, in our case, to store user's preferred language and some other settings during current browser's session.",Relevant
42266,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_15,train,what information is this app going to collect from my phone?,We process the this information in an anonymous way for the general purposes:,Relevant
42267,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_16,train,what information is this app going to collect from my phone?,to provide you with services,Relevant
42268,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_17,train,what information is this app going to collect from my phone?,to communicate with you via email and to respond to your questions and comments,Relevant
42269,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_0,Farm Frenzy Free: Time management game _7_0_18,train,what information is this app going to collect from my phone?,for statistical purposes which help us to improve the quality of the services we provide,Relevant
42285,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_1,Farm Frenzy Free: Time management game _7_1_0,train,what other apps does this app want to access data from?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
