11,0,1,2,3,4,5,6,7
161156,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_0,Brilliant _26_0_5,train,what kind of information do you collect?,"Brilliant collects information you voluntarily submit to the Service, such as, the information we collect when you register for an account: your name, email address, school, date of birth, etc.",Relevant
161158,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_0,Brilliant _26_0_7,train,what kind of information do you collect?,For example–if you make a post to a message board or chat forum that includes any personal information – such information will be made publicly available.,Relevant
161160,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_0,Brilliant _26_0_9,train,what kind of information do you collect?,"In addition, we may automatically receive and store certain, anonymous types of information whenever you interact with the Service.",Relevant
161161,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_0,Brilliant _26_0_10,train,what kind of information do you collect?,"Such information may include the user's IP address, domain server, and type of Internet browser.",Relevant
161163,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_0,Brilliant _26_0_12,train,what kind of information do you collect?,This information is anonymous and contains no personally identifiable data.,Relevant
161317,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_31,train,who do you share the information with?,We share your Personal Information only as described below.,Relevant
161318,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_32,train,who do you share the information with?,Recipient of User Submissions: As mentioned above – your User Submissions may be shared in a public or quasi-public manner.,Relevant
161319,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_33,train,who do you share the information with?,Service Providers and Agents: We employ other companies and people to perform tasks on our behalf.,Relevant
161320,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_34,train,who do you share the information with?,"For example, we may decide to use a third party payment processing company to process payments you make through the Service.",Relevant
161321,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_35,train,who do you share the information with?,"In addition, parts of the Service may be hosted by a third party on our behalf.",Relevant
161322,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_36,train,who do you share the information with?,"Your information may be accessed by such providers/agents, in the event that we need to share your information with them to provide our services or customer support to you.",Relevant
161323,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_37,train,who do you share the information with?,"Unless we tell you differently, Brilliant's agents do not have any right to use Personal Information we share with them beyond what is necessary to assist us.",Relevant
161324,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_38,train,who do you share the information with?,"Business Transfers: In some cases, we may choose to buy or sell assets.",Relevant
161325,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_39,train,who do you share the information with?,"In these types of transactions, customer information is typically one of the business assets that are transferred.",Relevant
161326,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_40,train,who do you share the information with?,"Moreover, if Brilliant, or substantially all of its assets were acquired, or in the unlikely event that Brilliant goes out of business or enters bankruptcy, customer information would be one of the assets that is transferred or acquired by a third party.",Relevant
161327,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_41,train,who do you share the information with?,"You acknowledge that such transfers may occur, and that any acquirer of Brilliant may continue to use your Personal Information as set forth in this policy.",Relevant
161328,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_42,train,who do you share the information with?,"Protection of Brilliant and Others: We may release Personal Information when we believe in good faith that release is necessary to comply with the law; enforce or apply our conditions of use and other agreements; or protect the rights, property, or safety of Brilliant, our employees, our users, or others.",Relevant
161329,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_1,Brilliant _26_1_43,train,who do you share the information with?,"With Your Consent: Except as set forth above, you will be notified when your Personal Information may be shared with third parties, and will be able to prevent the sharing of this information.",Relevant
161525,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_2,Brilliant _26_2_104,train,is my information secure?,What Security Measures Do We Use?,Relevant
161526,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_2,Brilliant _26_2_105,train,is my information secure?,We seek to protect Personal Data using appropriate technical and organizational measures based on the type of Personal Data and applicable processing activity.,Relevant
161527,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_2,Brilliant _26_2_106,train,is my information secure?,"For example, we encrypt all data in-transit, obfuscate and anonymize data that we share with processors like analytics services, and maintain all services with security patches in a timely manner.",Relevant
161528,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_2,Brilliant _26_2_107,train,is my information secure?,"We also require that our suppliers protect such information from unauthorized access, use, and disclosure.",Relevant
161570,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_3,Brilliant _26_3_14,train,do you use cookies?,"Through cookies we place on your browser or device, we may collect information about your online activity after you leave our Services.",Relevant
161725,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_4,Brilliant _26_4_34,train,do you need my payment info?,"For example, we may decide to use a third party payment processing company to process payments you make through the Service.",Relevant
161857,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_5,Brilliant _26_5_31,train,who is allowed access to my response data?,We share your Personal Information only as described below.,Relevant
161858,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_5,Brilliant _26_5_32,train,who is allowed access to my response data?,Recipient of User Submissions: As mentioned above – your User Submissions may be shared in a public or quasi-public manner.,Relevant
161859,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_5,Brilliant _26_5_33,train,who is allowed access to my response data?,Service Providers and Agents: We employ other companies and people to perform tasks on our behalf.,Relevant
161860,../../Dataset/Train/org.brilliant.android,Brilliant _26,Brilliant _26_5,Brilliant _26_5_34,train,who is allowed access to my response data?,"For example, we may decide to use a third party payment processing company to process payments you make through the Service.",Relevant
