11,0,1,2,3,4,5,6,7
149645,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_0,Dictionary _22_0_44,train,will you guys share my preferences with third parties?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
149664,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_13,train,who has access to my information?,"We require this information to understand your needs and provide you with a better service, and in particular for the following reasons:",Relevant
149665,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_14,train,who has access to my information?,Internal record keeping.,Relevant
149666,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_15,train,who has access to my information?,We may use the information to improve our products and services.,Relevant
149667,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_16,train,who has access to my information?,"We may periodically send promotional emails about new products, upgrades, special offers or other information which we think you may find interesting using the email address which you have provided.",Relevant
149668,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_17,train,who has access to my information?,Customers who purchase directly from our site (rather than via app stores) can change the email preferences on the  data options page.,Relevant
149669,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_18,train,who has access to my information?,"From time to time, we may also use your information to contact you for market research purposes.",Relevant
149671,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_20,train,who has access to my information?,We may use the information to customise the website according to your interests.,Relevant
149695,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_1,Dictionary _22_1_44,train,who has access to my information?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
149745,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_2,Dictionary _22_2_44,train,is there money exchanging hands if my info is shared?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
149842,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_41,train,can i control who sees my data?,Desktop customers may choose to restrict the collection or use of your personal information using the data options page:,Relevant
149843,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_42,train,can i control who sees my data?,"Customers can change email preferences for newsletters, upgrade and other announcements",Relevant
149844,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_43,train,can i control who sees my data?,"Customers can request deletion of their personally identifiable information (like email address), at the expense of no longer being able to use product upgrades or some other site features",Relevant
149845,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_44,train,can i control who sees my data?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
149846,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_45,train,can i control who sees my data?,You may request details of personal information which we hold about you under the Data Protection Act 1998.,Relevant
149847,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_46,train,can i control who sees my data?,A small fee will be payable.,Relevant
149848,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_47,train,can i control who sees my data?,If you would like a copy of the information held on you please write to our mailing address.,Relevant
149849,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_48,train,can i control who sees my data?,"If you believe that any information we are holding on you is incorrect or incomplete, please write to or email us as soon as possible at the above address.",Relevant
149850,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_4,Dictionary _22_4_49,train,can i control who sees my data?,We will promptly correct any information found to be incorrect.,Relevant
149859,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_5,Dictionary _22_5_8,train,do you guys save my searches?,"When using our websites, or obtaining apps from an app store, we may collect the following information where relevant:",Relevant
149860,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_5,Dictionary _22_5_9,train,do you guys save my searches?,"name, job title and company",Relevant
149861,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_5,Dictionary _22_5_10,train,do you guys save my searches?,contact information including email address,Relevant
149862,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_5,Dictionary _22_5_11,train,do you guys save my searches?,"demographic information such as country, language, operating system and postcode",Relevant
149863,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_5,Dictionary _22_5_12,train,do you guys save my searches?,"purchase and upgrade history, and other information relevant to customer surveys and/or offers",Relevant
149907,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_6,train,is there any way that you are holding my information?,"In most apps, including Android, iOS and Windows Store apps, WordWeb Software collects no information about you during routine use of the apps.",Relevant
149908,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_7,train,is there any way that you are holding my information?,Your IP address may be available to external web sites that you view.,Relevant
149909,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_8,train,is there any way that you are holding my information?,"When using our websites, or obtaining apps from an app store, we may collect the following information where relevant:",Relevant
149910,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_9,train,is there any way that you are holding my information?,"name, job title and company",Relevant
149911,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_10,train,is there any way that you are holding my information?,contact information including email address,Relevant
149912,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_11,train,is there any way that you are holding my information?,"demographic information such as country, language, operating system and postcode",Relevant
149913,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_12,train,is there any way that you are holding my information?,"purchase and upgrade history, and other information relevant to customer surveys and/or offers",Relevant
149925,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_24,train,is there any way that you are holding my information?,The file is added and the cookie helps analyse web traffic or lets you know when you visit a particular site.,Relevant
149928,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_6,Dictionary _22_6_27,train,is there any way that you are holding my information?,"We use traffic log cookies to identify which pages are being used, e.g.",Relevant
149957,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_6,train,are you logging what i access on the website?,"In most apps, including Android, iOS and Windows Store apps, WordWeb Software collects no information about you during routine use of the apps.",Relevant
149958,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_7,train,are you logging what i access on the website?,Your IP address may be available to external web sites that you view.,Relevant
149959,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_8,train,are you logging what i access on the website?,"When using our websites, or obtaining apps from an app store, we may collect the following information where relevant:",Relevant
149960,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_9,train,are you logging what i access on the website?,"name, job title and company",Relevant
149961,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_10,train,are you logging what i access on the website?,contact information including email address,Relevant
149962,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_11,train,are you logging what i access on the website?,"demographic information such as country, language, operating system and postcode",Relevant
149963,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_12,train,are you logging what i access on the website?,"purchase and upgrade history, and other information relevant to customer surveys and/or offers",Relevant
149975,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_24,train,are you logging what i access on the website?,The file is added and the cookie helps analyse web traffic or lets you know when you visit a particular site.,Relevant
149978,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_7,Dictionary _22_7_27,train,are you logging what i access on the website?,"We use traffic log cookies to identify which pages are being used, e.g.",Relevant
150045,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_8,Dictionary _22_8_44,train,are you selling the information of what people search for?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
150095,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_9,Dictionary _22_9_44,train,are you sharing the searches people make with any corporations?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
150145,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_10,Dictionary _22_10_44,train,does this app sell my information?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
150159,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_11,Dictionary _22_11_8,train,is my search history saved?,"When using our websites, or obtaining apps from an app store, we may collect the following information where relevant:",Relevant
150160,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_11,Dictionary _22_11_9,train,is my search history saved?,"name, job title and company",Relevant
150161,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_11,Dictionary _22_11_10,train,is my search history saved?,contact information including email address,Relevant
150162,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_11,Dictionary _22_11_11,train,is my search history saved?,"demographic information such as country, language, operating system and postcode",Relevant
150163,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_11,Dictionary _22_11_12,train,is my search history saved?,"purchase and upgrade history, and other information relevant to customer surveys and/or offers",Relevant
150214,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_12,Dictionary _22_12_13,train,who has access to my search history?,"We require this information to understand your needs and provide you with a better service, and in particular for the following reasons:",Relevant
150215,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_12,Dictionary _22_12_14,train,who has access to my search history?,Internal record keeping.,Relevant
150216,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_12,Dictionary _22_12_15,train,who has access to my search history?,We may use the information to improve our products and services.,Relevant
150217,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_12,Dictionary _22_12_16,train,who has access to my search history?,"We may periodically send promotional emails about new products, upgrades, special offers or other information which we think you may find interesting using the email address which you have provided.",Relevant
150219,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_12,Dictionary _22_12_18,train,who has access to my search history?,"From time to time, we may also use your information to contact you for market research purposes.",Relevant
150221,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_12,Dictionary _22_12_20,train,who has access to my search history?,We may use the information to customise the website according to your interests.,Relevant
150245,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_12,Dictionary _22_12_44,train,who has access to my search history?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
150287,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_13,Dictionary _22_13_36,train,are there any third parties involved?,Our website and apps may contain links to other websites of interest.,Relevant
150288,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_13,Dictionary _22_13_37,train,are there any third parties involved?,"However, once you have used these links to leave our site, you should note that we do not have any control over that other website.",Relevant
150289,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_13,Dictionary _22_13_38,train,are there any third parties involved?,"Therefore, we cannot be responsible for the protection and privacy of any information which you provide whilst visiting such sites and such sites are not governed by this privacy statement.",Relevant
150295,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_13,Dictionary _22_13_44,train,are there any third parties involved?,"We will not sell, distribute or lease your personal information to third parties.",Relevant
150322,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_14,Dictionary _22_14_21,train,how is my data protected?,We are committed to ensuring that your information is secure.,Relevant
150323,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_14,Dictionary _22_14_22,train,how is my data protected?,"In order to prevent unauthorised access or disclosure, we have put in place suitable physical, electronic and managerial procedures to safeguard and secure the information we collect online.",Relevant
150374,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_23,train,does it save cookies on my pc?,A cookie is a small file which asks permission to be placed on your computer's hard drive.,Relevant
150375,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_24,train,does it save cookies on my pc?,The file is added and the cookie helps analyse web traffic or lets you know when you visit a particular site.,Relevant
150376,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_25,train,does it save cookies on my pc?,Cookies allow web applications to respond to you as an individual.,Relevant
150377,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_26,train,does it save cookies on my pc?,"The web application can tailor its operations to your needs, for example displaying most relevant for your country of residence.",Relevant
150378,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_27,train,does it save cookies on my pc?,"We use traffic log cookies to identify which pages are being used, e.g.",Relevant
150379,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_28,train,does it save cookies on my pc?,Google Analytics.,Relevant
150380,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_29,train,does it save cookies on my pc?,This helps us analyse data about webpage traffic and improve our website in order to tailor it to customer needs.,Relevant
150381,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_30,train,does it save cookies on my pc?,We only use this information for statistical analysis purposes and then the data is removed from the system.,Relevant
150382,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_31,train,does it save cookies on my pc?,"Overall, cookies help us provide you with a better website by enabling us to remember your locale and payment currency, as well as licensing information for existing customers.",Relevant
150383,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_32,train,does it save cookies on my pc?,"A cookie in no way gives us access to your computer or any information about you, other than the data you choose to share with us.",Relevant
150384,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_33,train,does it save cookies on my pc?,You can choose to accept or decline cookies.,Relevant
150385,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_34,train,does it save cookies on my pc?,"Most web browsers automatically accept cookies, but you can usually modify your browser setting to decline cookies if you prefer.",Relevant
150386,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_15,Dictionary _22_15_35,train,does it save cookies on my pc?,This may prevent you from taking full advantage of the website.,Relevant
150407,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_16,Dictionary _22_16_6,train,will i have to put any of my personal info into the website?,"In most apps, including Android, iOS and Windows Store apps, WordWeb Software collects no information about you during routine use of the apps.",Relevant
150408,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_16,Dictionary _22_16_7,train,will i have to put any of my personal info into the website?,Your IP address may be available to external web sites that you view.,Relevant
150409,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_16,Dictionary _22_16_8,train,will i have to put any of my personal info into the website?,"When using our websites, or obtaining apps from an app store, we may collect the following information where relevant:",Relevant
150410,../../Dataset/Train/com.wordwebsoftware.android.wordweb,Dictionary _22,Dictionary _22_16,Dictionary _22_16_9,train,will i have to put any of my personal info into the website?,"name, job title and company",Relevant
