11,0,1,2,3,4,5,6,7
97552,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_0,Starbucks _15_0_1,train,does this save my payment info without asking?,"This may include your first and last name, username, password, email address, postal address, phone number, financial account information such as a credit card number, birthday, demographic information (such as your gender), and any other information you give us.",Relevant
97799,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_2,Starbucks _15_2_20,train,does it sell my info to any 3rd parties?,"When We Work on Business Transactions  If we become involved with a merger or another situation involving the transfer of some or all of our business assets, we may share your information with business entities or people involved in the negotiation or transfer.",Relevant
97808,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_2,Starbucks _15_2_29,train,does it sell my info to any 3rd parties?,To Display Ads for Products or Services  We allow some advertising companies to collect this information in order to display ads that are most relevant to you across your different devices and on our own and others websites and mobile apps.,Relevant
97812,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_2,Starbucks _15_2_33,train,does it sell my info to any 3rd parties?,"To Make the Services of Other Companies Work on Our Websites  We allow companies to use cookies, web beacons, and other similar technologies to enhance the operations of particular services and functionality of our websites and mobile applications.",Relevant
97815,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_2,Starbucks _15_2_36,train,does it sell my info to any 3rd parties?,"To Link Your Activity on Our Websites to Your Social Networks  We have added certain features to our websites and mobile applications that allow social networks (such as Facebook, Twitter, and Google+) to track the activities of their members or collect certain information when they use our website or mobile applications.",Relevant
98008,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_4,Starbucks _15_4_1,train,will i need to provide my address and other info aside from my name?,"This may include your first and last name, username, password, email address, postal address, phone number, financial account information such as a credit card number, birthday, demographic information (such as your gender), and any other information you give us.",Relevant
98122,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_5,Starbucks _15_5_1,train,are my order choices sold to advertisers?,"This may include your first and last name, username, password, email address, postal address, phone number, financial account information such as a credit card number, birthday, demographic information (such as your gender), and any other information you give us.",Relevant
98144,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_5,Starbucks _15_5_23,train,are my order choices sold to advertisers?,When You Give Consent  We may share information about you with other companies if you give us permission or direct us to share the information.,Relevant
98150,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_5,Starbucks _15_5_29,train,are my order choices sold to advertisers?,To Display Ads for Products or Services  We allow some advertising companies to collect this information in order to display ads that are most relevant to you across your different devices and on our own and others websites and mobile apps.,Relevant
98154,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_5,Starbucks _15_5_33,train,are my order choices sold to advertisers?,"To Make the Services of Other Companies Work on Our Websites  We allow companies to use cookies, web beacons, and other similar technologies to enhance the operations of particular services and functionality of our websites and mobile applications.",Relevant
98157,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_5,Starbucks _15_5_36,train,are my order choices sold to advertisers?,"To Link Your Activity on Our Websites to Your Social Networks  We have added certain features to our websites and mobile applications that allow social networks (such as Facebook, Twitter, and Google+) to track the activities of their members or collect certain information when they use our website or mobile applications.",Relevant
98578,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_9,Starbucks _15_9_1,train,is my order history saved somewhere?,"This may include your first and last name, username, password, email address, postal address, phone number, financial account information such as a credit card number, birthday, demographic information (such as your gender), and any other information you give us.",Relevant
98761,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_10,Starbucks _15_10_70,train,will it be able to determine my location?,Location Information You may be able to adjust the settings of your device so that information about your physical location is not sent to us or third parties by (a) disabling location services within the device settings; or (b) denying certain websites or mobile applications permission to access location information by changing the relevant preferences and permissions in your mobile device or browser settings.,Relevant
98762,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_10,Starbucks _15_10_71,train,will it be able to determine my location?,"Please note that your location may be derived from your WiFi, Bluetooth, and other device settings.",Relevant
98806,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_11,Starbucks _15_11_1,train,does it store my order history?,"This may include your first and last name, username, password, email address, postal address, phone number, financial account information such as a credit card number, birthday, demographic information (such as your gender), and any other information you give us.",Relevant
98920,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_12,Starbucks _15_12_1,train,can it view my real name?,"This may include your first and last name, username, password, email address, postal address, phone number, financial account information such as a credit card number, birthday, demographic information (such as your gender), and any other information you give us.",Relevant
99261,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_15,Starbucks _15_15_0,train,what data does this app use?,Some information we collect is provided when you use our services.,Relevant
99262,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_15,Starbucks _15_15_1,train,what data does this app use?,"This may include your first and last name, username, password, email address, postal address, phone number, financial account information such as a credit card number, birthday, demographic information (such as your gender), and any other information you give us.",Relevant
99263,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_15,Starbucks _15_15_2,train,what data does this app use?,"You may also permit us to access information directly from your device, such as information in the ""contacts list"".",Relevant
99264,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_15,Starbucks _15_15_3,train,what data does this app use?,"You may also provide us information about other people, including when you direct us to send a gift card or e-gift.",Relevant
99331,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_15,Starbucks _15_15_70,train,what data does this app use?,Location Information You may be able to adjust the settings of your device so that information about your physical location is not sent to us or third parties by (a) disabling location services within the device settings; or (b) denying certain websites or mobile applications permission to access location information by changing the relevant preferences and permissions in your mobile device or browser settings.,Relevant
99334,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_15,Starbucks _15_15_73,train,what data does this app use?,Voice Transmissions You can ensure you do not send us or any third parties any transmissions of your voice by not using the voice ordering feature.,Relevant
99377,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_16,Starbucks _15_16_2,train,will this app have access to my contacts?,"You may also permit us to access information directly from your device, such as information in the ""contacts list"".",Relevant
99787,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_19,Starbucks _15_19_70,train,will this app track my location?,Location Information You may be able to adjust the settings of your device so that information about your physical location is not sent to us or third parties by (a) disabling location services within the device settings; or (b) denying certain websites or mobile applications permission to access location information by changing the relevant preferences and permissions in your mobile device or browser settings.,Relevant
99788,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_19,Starbucks _15_19_71,train,will this app track my location?,"Please note that your location may be derived from your WiFi, Bluetooth, and other device settings.",Relevant
99901,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_20,Starbucks _15_20_70,train,does this app have access to my location,Location Information You may be able to adjust the settings of your device so that information about your physical location is not sent to us or third parties by (a) disabling location services within the device settings; or (b) denying certain websites or mobile applications permission to access location information by changing the relevant preferences and permissions in your mobile device or browser settings.,Relevant
99902,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_20,Starbucks _15_20_71,train,does this app have access to my location,"Please note that your location may be derived from your WiFi, Bluetooth, and other device settings.",Relevant
100061,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_22,Starbucks _15_22_2,train,does this app have access to my contacts,"You may also permit us to access information directly from your device, such as information in the ""contacts list"".",Relevant
100491,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_25,Starbucks _15_25_90,train,how is my payment info protected?,"When you transmit highly sensitive information (such as a credit card number) through our website or in one of our mobile applications, we encrypt the transmission of that information using the Secure Sockets Layer (SSL) protocol.",Relevant
100492,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_25,Starbucks _15_25_91,train,how is my payment info protected?,"While we have employed security technologies and procedures to assist safeguarding your personal information, no system or network can be guaranteed to be 100% secure.",Relevant
100784,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_41,train,what sort of analytics are integrated into the app?,We and others may use a variety of technologies to collect information about your device and use of our websites and mobile applications.,Relevant
100785,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_42,train,what sort of analytics are integrated into the app?,"These technologies include cookies, web beacons, java scripts, entity tags, and HTML local storage.",Relevant
100788,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_45,train,what sort of analytics are integrated into the app?,"Cookies are small data files that are sent from a websites server and are stored on your devices hard drive either for only the duration of your visit (""session cookies"") or for a fixed period (""persistent cookies"").",Relevant
100789,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_46,train,what sort of analytics are integrated into the app?,Cookies contain information that can later be read by a web server.,Relevant
100790,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_47,train,what sort of analytics are integrated into the app?,"Web Beacons  Web beacons are small, transparent images that are embedded in web pages, applications, and emails that are sometimes called clear gifs,"" single pixel gifs"", ""page tags"" or web bugs.",Relevant
100791,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_48,train,what sort of analytics are integrated into the app?,"We use web beacons to track the web pages you visit, to test the effectiveness of our marketing, and to find out if an email has been opened and acted on.",Relevant
100792,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_49,train,what sort of analytics are integrated into the app?,Java Scripts  Java scripts are code snippets embedded in various parts of websites and applications that facilitate a variety of operations including accelerating the refresh speed of certain functionality or monitoring usage of various online components.,Relevant
100793,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_50,train,what sort of analytics are integrated into the app?,"Entity Tags -- Entity Tags are HTTP code mechanisms that allow portions of websites to be stored or ""cached"" within your browser and validates these caches when the website is opened, accelerating website performance since the web server does not need to send a full response if the content has not changed.",Relevant
100794,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_28,Starbucks _15_28_51,train,what sort of analytics are integrated into the app?,"HTML5 Local Storage  HTML5 local storage allows data from websites to be stored or ""cached"" within your browser to store and retrieve data in HTML5 pages when the website is revisited.",Relevant
100873,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_16,train,will any of my app data be subject to access by third party entities?,We may share your information in the following circumstances:,Relevant
100876,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_19,train,will any of my app data be subject to access by third party entities?,"When We Work with Service Providers  We may share your information with service providers that provide us with support services, such as credit card processing, website hosting, email and postal delivery, location mapping, product and service delivery, analytics services, or conducting academic research.",Relevant
100877,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_20,train,will any of my app data be subject to access by third party entities?,"When We Work on Business Transactions  If we become involved with a merger or another situation involving the transfer of some or all of our business assets, we may share your information with business entities or people involved in the negotiation or transfer.",Relevant
100878,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_21,train,will any of my app data be subject to access by third party entities?,"When Sharing Helps Us Protect Lawful Interests  We may disclose your information if we believe that the disclosure is required by law, if we believe that the disclosure is necessary to enforce our agreements or policies, or if we believe that the disclosure will help us protect the rights, property, or safety of Starbucks or our customers or partners.",Relevant
100879,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_22,train,will any of my app data be subject to access by third party entities?,"When We Work with Marketing Service Providers  We may share your information with marketing service providers to assess, develop and provide you with promotions and special offers that may interest you, administer contests, sweepstakes and events or for other promotional purposes.",Relevant
100880,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_23,train,will any of my app data be subject to access by third party entities?,When You Give Consent  We may share information about you with other companies if you give us permission or direct us to share the information.,Relevant
100886,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_29,train,will any of my app data be subject to access by third party entities?,To Display Ads for Products or Services  We allow some advertising companies to collect this information in order to display ads that are most relevant to you across your different devices and on our own and others websites and mobile apps.,Relevant
100888,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_31,train,will any of my app data be subject to access by third party entities?,To Understand the Use of Our Services  We allow certain service providers to collect this information to help us understand how our websites and mobile applications are used and to assist us in improving the content and operation of our online properties.,Relevant
100890,../../Dataset/Train/com.starbucks.mobilecard,Starbucks _15,Starbucks _15_29,Starbucks _15_29_33,train,will any of my app data be subject to access by third party entities?,"To Make the Services of Other Companies Work on Our Websites  We allow companies to use cookies, web beacons, and other similar technologies to enhance the operations of particular services and functionality of our websites and mobile applications.",Relevant
