11,0,1,2,3,4,5,6,7
159851,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_0,White Noise Generator _25_0_0,train,does the app track my choices of sounds?,           Some information about you we collect passively - information that your phone send automatically while you use our Apps.,Relevant
159877,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_1,White Noise Generator _25_1_0,train,does the app track my location?,           Some information about you we collect passively - information that your phone send automatically while you use our Apps.,Relevant
159889,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_1,White Noise Generator _25_1_12,train,does the app track my location?,We do not use AdMob's optional GPS/location-based ad targeting.,Relevant
159903,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_2,White Noise Generator _25_2_0,train,does the app track my hours of sleep?,           Some information about you we collect passively - information that your phone send automatically while you use our Apps.,Relevant
159908,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_2,White Noise Generator _25_2_5,train,does the app track my hours of sleep?,"The collected information includes, but is not limited to, device state information, unique device identifiers, device hardware and OS information, IP Addresses and information relating to how application functions.",Relevant
159909,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_2,White Noise Generator _25_2_6,train,does the app track my hours of sleep?,For information regarding how Google uses data please visit How Google uses data when you use our partners' sites or apps,Relevant
159929,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_3,White Noise Generator _25_3_0,train,does the app track anything while it is not running?,           Some information about you we collect passively - information that your phone send automatically while you use our Apps.,Relevant
159957,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_4,White Noise Generator _25_4_2,train,does the app share my information with any 3rd parties?,"           We use Google Analytics to collect the usage data, optimize user experience and make the app better.",Relevant
159958,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_4,White Noise Generator _25_4_3,train,does the app share my information with any 3rd parties?,Collected information are anonymized and merged from thousands of users.,Relevant
159983,../../Dataset/Train/net.relaxio.relaxio,White Noise Generator _25,White Noise Generator _25_5,White Noise Generator _25_5_2,train,are my preferences distributed to outside companies?,"           We use Google Analytics to collect the usage data, optimize user experience and make the app better.",Relevant
