11,0,1,2,3,4,5,6,7
159095,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_2,Evie Launcher _24_2_12,train,do you use my date to modify the app,Provide personalized experiences,Relevant
159096,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_2,Evie Launcher _24_2_13,train,do you use my date to modify the app,Provide more relevant search results,Relevant
159114,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_3,Evie Launcher _24_3_15,train,do you sell my data,"           Your installation and use of this product involves the collection and use of certain data by third parties, according to the terms set forth on the following third-party privacy policy http://mobprivacy-policy.com/",Relevant
159273,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_13,Evie Launcher _24_13_14,train,does it share any data with a third party?,Share aggregate statistics with the public or our partners,Relevant
159274,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_13,Evie Launcher _24_13_15,train,does it share any data with a third party?,"           Your installation and use of this product involves the collection and use of certain data by third parties, according to the terms set forth on the following third-party privacy policy http://mobprivacy-policy.com/",Relevant
159327,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_17,Evie Launcher _24_17_4,train,does this app track my location?,"Search queries, approximate location where they are made (city level), and how you interact with the results",Relevant
159364,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_19,Evie Launcher _24_19_9,train,what do you do with the information that you access in user devices?,Evie uses the data we collect to operate our products and to improve the product experience.,Relevant
159365,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_19,Evie Launcher _24_19_10,train,what do you do with the information that you access in user devices?,We may use the data we collect to:,Relevant
159366,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_19,Evie Launcher _24_19_11,train,what do you do with the information that you access in user devices?,Perform analysis to improve our products,Relevant
159367,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_19,Evie Launcher _24_19_12,train,what do you do with the information that you access in user devices?,Provide personalized experiences,Relevant
159368,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_19,Evie Launcher _24_19_13,train,what do you do with the information that you access in user devices?,Provide more relevant search results,Relevant
159369,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_19,Evie Launcher _24_19_14,train,what do you do with the information that you access in user devices?,Share aggregate statistics with the public or our partners,Relevant
159374,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_20,Evie Launcher _24_20_3,train,does the launcher app keep track of the buttons i press and apps i launch?,"Usage activity, interactions within our apps",Relevant
159377,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_20,Evie Launcher _24_20_6,train,does the launcher app keep track of the buttons i press and apps i launch?,"Apps that are installed on your device, and when you launch them",Relevant
159401,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_21,Evie Launcher _24_21_14,train,does the app send data to a third party outside the phone?,Share aggregate statistics with the public or our partners,Relevant
159402,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_21,Evie Launcher _24_21_15,train,does the app send data to a third party outside the phone?,"           Your installation and use of this product involves the collection and use of certain data by third parties, according to the terms set forth on the following third-party privacy policy http://mobprivacy-policy.com/",Relevant
159411,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_22,Evie Launcher _24_22_8,train,what are the privacy settings available for the app?,"If you clear the data from App Settings or delete the app, the identifier will be reset permanently and cannot be associated to you.",Relevant
159439,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_24,Evie Launcher _24_24_4,train,can the app see what i type and what i search for?,"Search queries, approximate location where they are made (city level), and how you interact with the results",Relevant
159451,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_25,Evie Launcher _24_25_0,train,what data does this app use?,Evie collects data to provide you with the best experiences with our products.,Relevant
159453,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_25,Evie Launcher _24_25_2,train,what data does this app use?,The following data is collected and is associated with a randomly generated identifier:,Relevant
159454,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_25,Evie Launcher _24_25_3,train,what data does this app use?,"Usage activity, interactions within our apps",Relevant
159455,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_25,Evie Launcher _24_25_4,train,what data does this app use?,"Search queries, approximate location where they are made (city level), and how you interact with the results",Relevant
159456,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_25,Evie Launcher _24_25_5,train,what data does this app use?,Device information,Relevant
159457,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_25,Evie Launcher _24_25_6,train,what data does this app use?,"Apps that are installed on your device, and when you launch them",Relevant
159458,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_25,Evie Launcher _24_25_7,train,what data does this app use?,The generated identifier is stored with the app.,Relevant
159487,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_27,Evie Launcher _24_27_4,train,does this app have access to location data?,"Search queries, approximate location where they are made (city level), and how you interact with the results",Relevant
159582,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_33,Evie Launcher _24_33_3,train,do the service monitor what i do?,"Usage activity, interactions within our apps",Relevant
159609,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_34,Evie Launcher _24_34_14,train,is my information shared with third parties?,Share aggregate statistics with the public or our partners,Relevant
159610,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_34,Evie Launcher _24_34_15,train,is my information shared with third parties?,"           Your installation and use of this product involves the collection and use of certain data by third parties, according to the terms set forth on the following third-party privacy policy http://mobprivacy-policy.com/",Relevant
159737,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_42,Evie Launcher _24_42_14,train,is my information shared with anyone?,Share aggregate statistics with the public or our partners,Relevant
159738,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_42,Evie Launcher _24_42_15,train,is my information shared with anyone?,"           Your installation and use of this product involves the collection and use of certain data by third parties, according to the terms set forth on the following third-party privacy policy http://mobprivacy-policy.com/",Relevant
159811,../../Dataset/Train/is.shortcut,Evie Launcher _24,Evie Launcher _24_47,Evie Launcher _24_47_8,train,what tools are available for the user to control their own privacy?,"If you clear the data from App Settings or delete the app, the identifier will be reset permanently and cannot be associated to you.",Relevant
