11,0,1,2,3,4,5,6,7
14641,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_0,TouchPal Keyboard _3_0_40,train,will this app save any passwords?,"Data that we do not collect: We will not collect or record your pin code entered in a password field, or your credit card entered in a secure text filed for whatever reason.",Relevant
14733,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_2,TouchPal Keyboard _3_2_8,train,how will this keyboard predict text?,"We will learn and collect your own wording from your input text messages (SMS or MMS), to help us provide you a faster and more precise prediction (including the popup smiley prediction).",Relevant
14734,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_2,TouchPal Keyboard _3_2_9,train,how will this keyboard predict text?,"We will collect and import your contact names into your own user dictionary, so that you can type your contact names faster.",Relevant
14735,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_2,TouchPal Keyboard _3_2_10,train,how will this keyboard predict text?,"We will collect your SMS and the content published on Twitter and Facebook for customized prediction, and we just collect such information or content for learning purpose and it will not be uploaded to our server.",Relevant
14745,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_2,TouchPal Keyboard _3_2_20,train,how will this keyboard predict text?,We will collect location information (e.g.,Relevant
14746,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_2,TouchPal Keyboard _3_2_21,train,how will this keyboard predict text?,"Locale data, IP data, GPS information) to assist us to orientate the region or country that you are located.",Relevant
14747,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_2,TouchPal Keyboard _3_2_22,train,how will this keyboard predict text?,"Then we can improve the prediction with different trends words according to different location, and to provide you with relevant location-based services, such as local weather information and POI (point of interest) and personalized contents and services.",Relevant
14782,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_2,TouchPal Keyboard _3_2_57,train,how will this keyboard predict text?,TouchPal Keyboard provides a smart prediction technology by learning the way you input.,Relevant
14795,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_3,TouchPal Keyboard _3_3_8,train,will this keyboard save and memorize/predict word phrases?,"We will learn and collect your own wording from your input text messages (SMS or MMS), to help us provide you a faster and more precise prediction (including the popup smiley prediction).",Relevant
14796,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_3,TouchPal Keyboard _3_3_9,train,will this keyboard save and memorize/predict word phrases?,"We will collect and import your contact names into your own user dictionary, so that you can type your contact names faster.",Relevant
14797,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_3,TouchPal Keyboard _3_3_10,train,will this keyboard save and memorize/predict word phrases?,"We will collect your SMS and the content published on Twitter and Facebook for customized prediction, and we just collect such information or content for learning purpose and it will not be uploaded to our server.",Relevant
14807,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_3,TouchPal Keyboard _3_3_20,train,will this keyboard save and memorize/predict word phrases?,We will collect location information (e.g.,Relevant
14808,../../Dataset/Train/com.cootek.smartinputv5,TouchPal Keyboard _3,TouchPal Keyboard _3_3,TouchPal Keyboard _3_3_21,train,will this keyboard save and memorize/predict word phrases?,"Locale data, IP data, GPS information) to assist us to orientate the region or country that you are located.",Relevant
